date,fuerte,generator,n_confirmers,fuerte_hit,first_day_offset,outcome_bucket,closest_distance,closest_number
2020-07-01,76,34,1,True,1,FUERTE_EXACTO,0,76
2020-07-02,29,41,1,True,1,FUERTE_EXACTO,0,29
2020-07-03,29,41,1,True,1,FUERTE_EXACTO,0,29
2020-07-06,12,43,1,True,1,FUERTE_EXACTO,0,12
2020-07-07,94,39,1,True,2,FUERTE_EXACTO,0,94
2020-07-08,87,33,1,True,3,FUERTE_EXACTO,0,87
2020-07-10,59,44,1,True,3,FUERTE_EXACTO,0,59
2020-07-10,75,44,1,False,,COMPANERO_TABLA1,1,70
2020-07-10,90,46,1,False,,COMPANERO_TABLA1,1,37
2020-07-11,4,47,1,True,3,FUERTE_EXACTO,0,4
2020-07-11,68,47,1,False,,COMPANERO_TABLA1,1,84
2020-07-11,79,47,1,False,,COMPANERO_TABLA1,1,84
2020-07-12,12,43,1,False,,COMPANERO_TABLA1,1,81
2020-07-12,28,43,1,True,2,FUERTE_EXACTO,0,28
2020-07-15,12,43,1,True,6,FUERTE_EXACTO,0,12
2020-07-15,44,43,1,True,2,FUERTE_EXACTO,0,44
2020-07-15,68,47,1,True,5,FUERTE_EXACTO,0,68
2020-07-15,71,42,1,True,1,FUERTE_EXACTO,0,71
2020-07-17,42,37,1,False,,COMPANERO_TABLA1,1,10
2020-07-17,91,44,1,False,,COMPANERO_TABLA1,1,22
2020-07-19,84,47,1,True,5,FUERTE_EXACTO,0,84
2020-07-20,76,34,1,True,3,FUERTE_EXACTO,0,76
2020-07-23,42,37,2,False,,COMPANERO_TABLA1,1,5
2020-07-26,8,40,1,True,2,FUERTE_EXACTO,0,8
2020-07-27,12,43,1,True,3,FUERTE_EXACTO,0,12
2020-07-27,28,43,1,True,4,FUERTE_EXACTO,0,28
2020-07-27,87,33,1,False,,COMPANERO_TABLA1,1,2
2020-07-29,35,49,1,True,5,FUERTE_EXACTO,0,35
2020-07-31,42,37,1,False,,COMPANERO_TABLA1,1,5
2020-07-31,90,46,1,False,,COMPANERO_TABLA1,1,74
2020-08-01,29,41,1,True,2,FUERTE_EXACTO,0,29
2020-08-03,13,41,1,False,,COMPANERO_TABLA1,1,29
2020-08-05,69,45,1,False,,COMPANERO_TABLA1,1,80
2020-08-06,44,43,2,True,1,FUERTE_EXACTO,0,44
2020-08-06,28,43,1,True,7,FUERTE_EXACTO,0,28
2020-08-07,70,44,1,False,,COMPANERO_TABLA1,1,22
2020-08-10,7,42,1,True,1,FUERTE_EXACTO,0,7
2020-08-10,34,51,1,True,6,FUERTE_EXACTO,0,34
2020-08-14,74,46,1,True,6,FUERTE_EXACTO,0,74
2020-08-16,27,26,1,True,7,FUERTE_EXACTO,0,27
2020-08-21,1,34,1,True,3,FUERTE_EXACTO,0,1
2020-08-21,17,34,1,True,2,FUERTE_EXACTO,0,17
2020-08-22,77,32,2,True,4,FUERTE_EXACTO,0,77
2020-08-23,69,45,1,True,1,FUERTE_EXACTO,0,69
2020-08-25,63,38,1,True,4,FUERTE_EXACTO,0,63
2020-08-27,16,27,1,False,,VECINO_TABLA2,3,25
2020-08-29,1,34,1,False,,COMPANERO_TABLA1,1,17
2020-08-31,28,43,1,True,3,FUERTE_EXACTO,0,28
2020-08-31,44,43,1,False,,COMPANERO_TABLA1,1,92
2020-08-31,68,47,1,True,2,FUERTE_EXACTO,0,68
2020-08-31,92,43,1,True,1,FUERTE_EXACTO,0,92
2020-09-03,53,28,1,True,1,FUERTE_EXACTO,0,53
2020-09-05,27,26,1,True,2,FUERTE_EXACTO,0,27
2020-09-07,9,39,1,True,1,FUERTE_EXACTO,0,9
2020-09-08,29,41,1,True,3,FUERTE_EXACTO,0,29
2020-09-09,7,42,2,True,1,FUERTE_EXACTO,0,7
2020-09-11,9,39,2,True,2,FUERTE_EXACTO,0,9
2020-09-11,14,39,1,True,4,FUERTE_EXACTO,0,14
2020-09-12,83,49,1,False,,COMPANERO_TABLA1,1,35
2020-09-13,60,43,1,False,,COMPANERO_TABLA1,1,81
2020-09-15,59,44,1,True,2,FUERTE_EXACTO,0,59
2020-09-18,42,37,1,True,3,FUERTE_EXACTO,0,42
2020-09-19,90,46,1,True,3,FUERTE_EXACTO,0,90
2020-09-20,82,33,1,True,3,FUERTE_EXACTO,0,82
2020-09-21,44,43,1,True,4,FUERTE_EXACTO,0,44
2020-09-21,92,43,1,True,6,FUERTE_EXACTO,0,92
2020-09-26,86,35,1,True,4,FUERTE_EXACTO,0,86
2020-09-27,76,34,1,True,3,FUERTE_EXACTO,0,76
2020-09-29,42,37,1,True,4,FUERTE_EXACTO,0,42
2020-09-29,53,28,1,False,,COMPANERO_TABLA1,1,26
2020-10-01,19,40,1,True,5,FUERTE_EXACTO,0,19
2020-10-01,46,39,1,True,6,FUERTE_EXACTO,0,46
2020-10-02,69,45,1,True,7,FUERTE_EXACTO,0,69
2020-10-03,29,41,1,True,6,FUERTE_EXACTO,0,29
2020-10-07,7,42,2,False,,COMPANERO_TABLA1,1,66
2020-10-07,22,44,2,True,5,FUERTE_EXACTO,0,22
2020-10-07,70,44,2,True,3,FUERTE_EXACTO,0,70
2020-10-07,48,36,1,False,,COMPANERO_TABLA1,1,85
2020-10-08,57,30,1,True,2,FUERTE_EXACTO,0,57
2020-10-11,90,46,2,True,3,FUERTE_EXACTO,0,90
2020-10-11,7,42,1,False,,COMPANERO_TABLA1,1,55
2020-10-12,57,30,1,True,2,FUERTE_EXACTO,0,57
2020-10-12,69,45,1,True,1,FUERTE_EXACTO,0,69
2020-10-13,41,39,1,True,3,FUERTE_EXACTO,0,41
2020-10-17,3,31,1,True,4,FUERTE_EXACTO,0,3
2020-10-17,28,43,1,True,6,FUERTE_EXACTO,0,28
2020-10-17,81,43,1,True,1,FUERTE_EXACTO,0,81
2020-10-18,52,38,1,True,1,FUERTE_EXACTO,0,52
2020-10-18,63,38,1,False,,COMPANERO_TABLA1,1,52
2020-10-20,44,43,1,True,7,FUERTE_EXACTO,0,44
2020-10-20,79,47,1,True,3,FUERTE_EXACTO,0,79
2020-10-24,20,38,1,True,5,FUERTE_EXACTO,0,20
2020-10-24,23,42,1,True,3,FUERTE_EXACTO,0,23
2020-10-24,63,38,1,True,6,FUERTE_EXACTO,0,63
2020-10-24,71,42,1,False,,COMPANERO_TABLA1,1,7
2020-10-29,58,46,1,True,5,FUERTE_EXACTO,0,58
2020-10-31,91,44,1,True,1,FUERTE_EXACTO,0,91
2020-11-01,68,47,1,False,,COMPANERO_TABLA1,1,79
2020-11-02,19,40,1,True,1,FUERTE_EXACTO,0,19
2020-11-03,56,40,1,True,4,FUERTE_EXACTO,0,56
2020-11-06,53,28,1,False,,COMPANERO_TABLA1,1,21
2020-11-10,65,52,1,True,2,FUERTE_EXACTO,0,65
2020-11-12,42,37,1,True,6,FUERTE_EXACTO,0,42
2020-11-13,9,39,1,True,5,FUERTE_EXACTO,0,9
2020-11-13,46,39,1,True,7,FUERTE_EXACTO,0,46
2020-11-15,29,41,1,False,,COMPANERO_TABLA1,1,93
2020-11-17,65,52,1,True,7,FUERTE_EXACTO,0,65
2020-11-17,85,36,1,True,2,FUERTE_EXACTO,0,85
2020-11-18,63,38,1,True,2,FUERTE_EXACTO,0,63
2020-11-19,48,36,1,True,3,FUERTE_EXACTO,0,48
2020-11-20,90,46,2,True,3,FUERTE_EXACTO,0,90
2020-11-20,86,35,1,True,2,FUERTE_EXACTO,0,86
2020-11-22,7,42,1,False,,COMPANERO_TABLA1,1,50
2020-11-23,92,43,1,True,1,FUERTE_EXACTO,0,92
2020-11-25,73,48,2,False,,VECINO_TABLA2,3,23
