origin,fuerte,confirmer,result,count,consistency
35,54,14,58,28,NIVEL_4_REPETICION_ALTA
48,73,23,18,28,NIVEL_4_REPETICION_ALTA
48,73,23,64,28,NIVEL_4_REPETICION_ALTA
48,73,23,17,28,NIVEL_4_REPETICION_ALTA
48,73,23,46,28,NIVEL_4_REPETICION_ALTA
48,73,23,89,28,NIVEL_4_REPETICION_ALTA
32,77,23,63,28,NIVEL_4_REPETICION_ALTA
32,77,23,21,28,NIVEL_4_REPETICION_ALTA
32,77,23,11,28,NIVEL_4_REPETICION_ALTA
43,92,27,4,28,NIVEL_4_REPETICION_ALTA
43,92,27,55,28,NIVEL_4_REPETICION_ALTA
40,19,86,29,28,NIVEL_4_REPETICION_ALTA
40,19,86,42,28,NIVEL_4_REPETICION_ALTA
40,19,86,59,28,NIVEL_4_REPETICION_ALTA
40,19,86,90,28,NIVEL_4_REPETICION_ALTA
37,42,44,61,28,NIVEL_4_REPETICION_ALTA
39,94,84,87,28,NIVEL_4_REPETICION_ALTA
43,44,70,91,28,NIVEL_4_REPETICION_ALTA
40,19,86,12,28,NIVEL_4_REPETICION_ALTA
39,94,84,73,28,NIVEL_4_REPETICION_ALTA
37,42,44,90,28,NIVEL_4_REPETICION_ALTA
37,42,44,6,28,NIVEL_4_REPETICION_ALTA
37,42,44,20,28,NIVEL_4_REPETICION_ALTA
37,42,44,83,28,NIVEL_4_REPETICION_ALTA
37,42,44,86,28,NIVEL_4_REPETICION_ALTA
45,69,57,86,28,NIVEL_4_REPETICION_ALTA
44,70,22,64,28,NIVEL_4_REPETICION_ALTA
44,70,22,92,28,NIVEL_4_REPETICION_ALTA
44,70,22,25,28,NIVEL_4_REPETICION_ALTA
44,70,22,88,28,NIVEL_4_REPETICION_ALTA
44,70,22,67,28,NIVEL_4_REPETICION_ALTA
44,70,22,59,28,NIVEL_4_REPETICION_ALTA
44,70,22,15,28,NIVEL_4_REPETICION_ALTA
44,70,22,13,28,NIVEL_4_REPETICION_ALTA
44,70,22,46,28,NIVEL_4_REPETICION_ALTA
42,7,63,84,28,NIVEL_4_REPETICION_ALTA
42,7,63,41,28,NIVEL_4_REPETICION_ALTA
39,14,54,36,28,NIVEL_4_REPETICION_ALTA
39,14,54,84,28,NIVEL_4_REPETICION_ALTA
38,20,2,78,28,NIVEL_4_REPETICION_ALTA
48,73,28,80,28,NIVEL_4_REPETICION_ALTA
49,35,7,27,28,NIVEL_4_REPETICION_ALTA
44,70,22,53,28,NIVEL_4_REPETICION_ALTA
41,29,90,63,28,NIVEL_4_REPETICION_ALTA
42,71,56,91,28,NIVEL_4_REPETICION_ALTA
37,10,1,55,27,NIVEL_4_REPETICION_ALTA
37,10,1,11,27,NIVEL_4_REPETICION_ALTA
37,10,1,99,27,NIVEL_4_REPETICION_ALTA
37,10,1,13,27,NIVEL_4_REPETICION_ALTA
37,10,1,19,27,NIVEL_4_REPETICION_ALTA
42,71,89,45,27,NIVEL_4_REPETICION_ALTA
40,72,34,79,27,NIVEL_4_REPETICION_ALTA
41,29,9,12,27,NIVEL_4_REPETICION_ALTA
41,29,9,61,27,NIVEL_4_REPETICION_ALTA
48,89,41,11,27,NIVEL_4_REPETICION_ALTA
48,89,41,86,27,NIVEL_4_REPETICION_ALTA
41,93,48,11,27,NIVEL_4_REPETICION_ALTA
41,93,48,86,27,NIVEL_4_REPETICION_ALTA
47,68,76,45,27,NIVEL_4_REPETICION_ALTA
47,68,76,57,27,NIVEL_4_REPETICION_ALTA
47,68,76,49,27,NIVEL_4_REPETICION_ALTA
44,22,7,41,27,NIVEL_4_REPETICION_ALTA
44,22,7,47,27,NIVEL_4_REPETICION_ALTA
44,22,7,76,27,NIVEL_4_REPETICION_ALTA
44,70,7,41,27,NIVEL_4_REPETICION_ALTA
44,70,7,47,27,NIVEL_4_REPETICION_ALTA
44,70,7,76,27,NIVEL_4_REPETICION_ALTA
41,29,22,66,27,NIVEL_4_REPETICION_ALTA
45,69,57,47,27,NIVEL_4_REPETICION_ALTA
45,69,57,37,27,NIVEL_4_REPETICION_ALTA
45,69,57,17,27,NIVEL_4_REPETICION_ALTA
45,69,57,26,27,NIVEL_4_REPETICION_ALTA
45,69,57,30,27,NIVEL_4_REPETICION_ALTA
45,80,8,5,27,NIVEL_4_REPETICION_ALTA
37,10,1,32,27,NIVEL_4_REPETICION_ALTA
49,83,3,92,27,NIVEL_4_REPETICION_ALTA
52,65,37,88,27,NIVEL_4_REPETICION_ALTA
51,34,59,86,27,NIVEL_4_REPETICION_ALTA
51,34,59,73,27,NIVEL_4_REPETICION_ALTA
37,42,22,6,27,NIVEL_4_REPETICION_ALTA
43,92,68,87,27,NIVEL_4_REPETICION_ALTA
43,92,68,82,27,NIVEL_4_REPETICION_ALTA
33,87,23,32,27,NIVEL_4_REPETICION_ALTA
33,87,23,63,27,NIVEL_4_REPETICION_ALTA
40,72,26,88,27,NIVEL_4_REPETICION_ALTA
40,72,26,23,27,NIVEL_4_REPETICION_ALTA
38,63,22,94,27,NIVEL_4_REPETICION_ALTA
38,63,22,66,27,NIVEL_4_REPETICION_ALTA
38,63,22,70,27,NIVEL_4_REPETICION_ALTA
38,63,22,58,27,NIVEL_4_REPETICION_ALTA
38,63,22,29,27,NIVEL_4_REPETICION_ALTA
38,63,22,86,27,NIVEL_4_REPETICION_ALTA
38,63,22,47,27,NIVEL_4_REPETICION_ALTA
31,3,30,91,27,NIVEL_4_REPETICION_ALTA
31,3,30,1,27,NIVEL_4_REPETICION_ALTA
31,3,30,64,27,NIVEL_4_REPETICION_ALTA
31,3,30,74,27,NIVEL_4_REPETICION_ALTA
31,3,30,12,27,NIVEL_4_REPETICION_ALTA
