number,t1_code,t1_group,t1_pos,t1_group_size,t2_code,t2_group,t2_pos,t2_group_size,times_fuerte,exact_any,exact_D+1,exact_D+2,exact_D+3,exact_D+4,exact_D+5,exact_D+6,exact_D+7,times_origin,times_confirmer,candidates_as_origin
89,48,73|89,2,2,57,12|41|56|71|89,5,5,33,24,8,2,3,1,4,4,2,0,40,
90,46,37|58|74|90,4,4,55,7|9|22|29|35|42|44|53|63|70|90,11,11,65,49,14,8,7,6,7,3,4,0,98,
91,44,22|59|70|75|91,5,5,47,11|57|69|91,4,4,27,21,11,4,2,1,1,1,1,0,30,
92,43,12|28|44|60|81|92,6,6,53,27|68|76|92,4,4,32,29,10,6,2,0,2,5,4,0,35,
93,41,13|29|93,3,3,61,48|93|97,2,3,22,19,4,3,4,2,3,2,1,0,19,
94,39,9|14|30|41|46|62|78|94,8,8,50,58|84|94,3,3,32,25,10,3,3,5,2,1,1,0,17,
95,56,95,1,1,36,95,1,1,0,0,0,0,0,0,0,0,0,0,0,
96,54,96,1,1,39,15|96,2,2,6,5,2,2,1,0,0,0,0,0,6,
97,52,65|97,2,2,61,48|93|97,3,3,11,9,1,2,3,0,1,1,1,0,21,
98,51,34|98,2,2,67,98,1,1,0,0,0,0,0,0,0,0,0,0,0,
99,31,3|24|88|99,4,4,28,99,1,1,0,0,0,0,0,0,0,0,0,0,0,
100,38,20|31|47|52|63|100,6,6,5,1|10|100,3,3,14,0,0,0,0,0,0,0,0,0,0,
