case_date,fuerte,result,day_offset,t2_pos_fuerte,t2_pos_result,t2_dist,lottery,draw_position,labels
2019-08-01,71,12,4,4,1,-3,Quiniela Real,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-01,71,89,5,4,5,1,Loteria Nacional,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-08-01,71,89,5,4,5,1,Loteria Nacional,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-08-01,71,71,6,4,4,0,New York 2:30,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-02,26,72,2,1,4,3,Quiniela Leidsa,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-02,26,59,4,1,3,2,New York 2:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-02,26,34,4,1,2,1,Quiniela Leidsa,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|CONFIRMADOR_ORIGINAL
2019-08-02,26,72,5,1,4,3,Gana Mas,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-02,100,10,6,3,2,-1,Gana Mas,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-02,100,10,7,3,2,-1,New York 2:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-04,12,12,1,1,1,0,Quiniela Real,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-04,12,89,2,1,5,4,Loteria Nacional,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-04,12,89,2,1,5,4,Loteria Nacional,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-04,12,71,3,1,4,3,New York 2:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
2019-08-04,12,41,5,1,2,1,Quiniela Loteka,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-04,12,41,7,1,2,1,New York 10:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-04,60,60,1,2,2,0,Gana Mas,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-04,60,60,6,2,2,0,Loteria Nacional,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,56,71,1,3,4,1,New York 2:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-06,56,41,3,3,2,-1,Quiniela Loteka,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-06,56,41,5,3,2,-1,New York 10:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-06,56,12,6,3,1,-2,Loteria Nacional,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,56,89,6,3,5,2,Quiniela Loteka,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
2019-08-06,56,12,7,3,1,-2,New York 2:30,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,72,72,1,4,4,0,Gana Mas,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,72,72,5,4,4,0,Loteria Nacional,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,72,72,1,4,4,0,Gana Mas,3,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-06,72,72,5,4,4,0,Loteria Nacional,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,90,1,8,11,3,Loteria Nacional,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,42,1,8,6,-2,New York 10:30,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,44,1,8,7,-1,Quiniela Leidsa,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-07,53,9,1,8,2,-6,Quiniela Leidsa,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,42,2,8,6,-2,Gana Mas,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,22,2,8,3,-5,Quiniela Loteka,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,42,3,8,6,-2,New York 10:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,90,3,8,11,3,Quiniela Real,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,53,4,8,8,0,Quiniela Loteka,2,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,9,4,8,2,-6,Quiniela Real,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,29,5,8,4,-4,Gana Mas,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
2019-08-07,53,35,5,8,5,-3,Loteria Nacional,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,63,5,8,9,1,New York 2:30,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-07,53,42,6,8,6,-2,Quiniela Leidsa,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-07,53,63,7,8,9,1,Gana Mas,1,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-07,53,44,7,8,7,-1,Loteria Nacional,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-07,53,70,7,8,10,2,Quiniela Real,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-09,96,96,1,2,2,0,Quiniela Real,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2019-08-10,23,28,1,1,2,1,New York 2:30,2,MISMO_GRUPO_T2|MISMO_CODIGO_T2|POSICION_T2_ADYACENTE|VECINO_DEL_CONFIRMADOR
2019-08-10,23,73,2,1,3,2,Gana Mas,3,MISMO_GRUPO_T2|MISMO_CODIGO_T2|CONFIRMADOR_ORIGINAL
