activation_id,case_date,year,origin,origin_lottery,origin_draw_position,origin_source,fuerte,confirmer,confirmer_lottery,confirmer_draw_position,confirmer_source,t1_candidates,t1_group_fuerte,t1_pos_fuerte,t2_group_fuerte,t2_pos_fuerte,t2_pos_confirmer,n_confirmers,n_fuertes_same_day,other_fuertes,fuerte_appeared,first_day_offset,first_lottery,first_draw_position,fuerte_appearance_count,methodology
2019-09-16|43|60|6,2019-09-16,2019,43,Gana Mas,1,163095,60,6,Quiniela Leidsa,1,116683,12|28|44|60|81|92,12|28|44|60|81|92,4,6|60,2,1,1,1,,True,4,Quiniela Leidsa,2,2,nr-historical-relations-j1.0.0
2019-09-19|39|9|70,2019-09-19,2019,39,Loteria Nacional,1,109159,9,70,New York 10:30,1,50036,9|14|30|41|46|62|78|94,9|14|30|41|46|62|78|94,1,7|9|22|29|35|42|44|53|63|70|90,2,10,1,2,25,True,3,Quiniela Leidsa,3,3,nr-historical-relations-j1.0.0
2019-09-19|30|25|16,2019-09-19,2019,30,New York 2:30,1,47573,25,16,Quiniela Loteka,1,1239,25|57,25|57,1,16|25,2,1,1,2,9,True,3,Quiniela Real,1,1,nr-historical-relations-j1.0.0
2019-09-20|42|7|35,2019-09-20,2019,42,Loteria Nacional,1,109158,7,35,Quiniela Leidsa,1,116679,7|18|23|50|55|66|71,7|18|23|50|55|66|71,1,7|9|22|29|35|42|44|53|63|70|90,1,5,1,3,11|86,True,6,Quiniela Real,2,1,nr-historical-relations-j1.0.0
2019-09-20|35|11|57,2019-09-20,2019,35,Quiniela Leidsa,1,116679,11,57,Gana Mas,1,163091,6|11|43|54|86,6|11|43|54|86,2,11|57|69|91,1,2,1,3,7|86,True,5,New York 2:30,1,1,nr-historical-relations-j1.0.0
2019-09-20|35|86|19,2019-09-20,2019,35,Quiniela Leidsa,1,116679,86,19,New York 10:30,1,50035,6|11|43|54|86,6|11|43|54|86,5,19|46|86,3,1,1,3,7|11,True,1,New York 2:30,3,3,nr-historical-relations-j1.0.0
2019-09-21|33|87|28,2019-09-21,2019,33,Quiniela Loteka,1,1237,87,28,New York 2:30,1,47571,2|39|82|87,2|39|82|87,4,23|28|73|77|87,5,2,2,1,,True,4,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-09-21|33|87|77,2019-09-21,2019,33,Quiniela Loteka,1,1237,87,77,New York 10:30,1,50034,2|39|82|87,2|39|82|87,4,23|28|73|77|87,5,4,2,1,,True,4,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-09-22|30|57|91,2019-09-22,2019,30,Quiniela Leidsa,1,116677,57,91,Gana Mas,1,163089,25|57,25|57,2,11|57|69|91,2,4,1,1,,True,5,Gana Mas,2,3,nr-historical-relations-j1.0.0
2019-09-23|34|76|27,2019-09-23,2019,34,New York 10:30,1,50032,76,27,Gana Mas,1,163088,1|17|33|49|76,1|17|33|49|76,5,27|68|76|92,3,1,1,2,87,True,2,Loteria Nacional,3,2,nr-historical-relations-j1.0.0
2019-09-23|33|87|23,2019-09-23,2019,33,Quiniela Leidsa,1,116676,87,23,Loteria Nacional,1,109155,2|39|82|87,2|39|82|87,4,23|28|73|77|87,5,1,1,2,76,True,2,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-09-25|45|69|11,2019-09-25,2019,45,Quiniela Leidsa,1,116674,69,11,New York 2:30,1,47567,69|80,69|80,1,11|57|69|91,3,1,1,2,80,True,2,New York 2:30,1,3,nr-historical-relations-j1.0.0
2019-09-25|45|80|8,2019-09-25,2019,45,Quiniela Leidsa,1,116674,80,8,Quiniela Loteka,1,1233,69|80,69|80,2,8|80,2,1,1,2,69,True,2,New York 10:30,1,2,nr-historical-relations-j1.0.0
2019-09-26|28|26|59,2019-09-26,2019,28,New York 2:30,1,47566,26,59,Loteria Nacional,1,109153,21|26|53,21|26|53,2,26|34|59|72,1,3,1,1,,True,3,New York 2:30,1,2,nr-historical-relations-j1.0.0
2019-09-28|45|69|57,2019-09-28,2019,45,New York 10:30,1,50027,69,57,Quiniela Leidsa,1,116671,69|80,69|80,1,11|57|69|91,3,2,2,1,,True,4,Loteria Nacional,2,2,nr-historical-relations-j1.0.0
2019-09-28|45|69|91,2019-09-28,2019,45,New York 10:30,1,50027,69,91,Loteria Nacional,1,109151,69|80,69|80,1,11|57|69|91,3,4,2,1,,True,4,Loteria Nacional,2,2,nr-historical-relations-j1.0.0
2019-09-29|26|27|92,2019-09-29,2019,26,New York 2:30,1,47563,27,92,Gana Mas,1,163083,27|38,27|38,1,27|68|76|92,1,4,1,1,,True,3,Quiniela Real,3,1,nr-historical-relations-j1.0.0
2019-09-30|40|56|71,2019-09-30,2019,40,New York 10:30,1,50025,56,71,New York 2:30,1,47562,8|19|51|56|67|72,8|19|51|56|67|72,4,12|41|56|71|89,3,4,1,1,,True,2,Quiniela Loteka,3,2,nr-historical-relations-j1.0.0
2019-10-02|33|87|77,2019-10-02,2019,33,New York 10:30,1,50023,87,77,Quiniela Leidsa,1,116667,2|39|82|87,2|39|82|87,4,23|28|73|77|87,5,4,1,1,,True,1,Quiniela Leidsa,3,3,nr-historical-relations-j1.0.0
2019-10-03|43|12|89,2019-10-03,2019,43,New York 10:30,1,50022,12,89,Quiniela Loteka,1,1225,12|28|44|60|81|92,12|28|44|60|81|92,1,12|41|56|71|89,1,5,1,3,56|72,False,,,,0,nr-historical-relations-j1.0.0
2019-10-03|40|56|89,2019-10-03,2019,40,Quiniela Real,1,35976,56,89,Quiniela Loteka,1,1225,8|19|51|56|67|72,8|19|51|56|67|72,4,12|41|56|71|89,3,5,1,3,12|72,True,4,Quiniela Loteka,3,4,nr-historical-relations-j1.0.0
2019-10-03|40|72|26,2019-10-03,2019,40,Quiniela Real,1,35976,72,26,Gana Mas,1,163079,8|19|51|56|67|72,8|19|51|56|67|72,6,26|34|59|72,4,1,1,3,12|56,False,,,,0,nr-historical-relations-j1.0.0
2019-10-05|38|63|22,2019-10-05,2019,38,New York 2:30,1,47557,63,22,Quiniela Leidsa,1,116664,20|31|47|52|63|100,20|31|47|52|63|100,5,7|9|22|29|35|42|44|53|63|70|90,9,3,2,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-10-05|38|63|70,2019-10-05,2019,38,New York 2:30,1,47557,63,70,Quiniela Loteka,1,1223,20|31|47|52|63|100,20|31|47|52|63|100,5,7|9|22|29|35|42|44|53|63|70|90,9,10,2,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-10-06|49|35|70,2019-10-06,2019,49,New York 2:30,1,47556,35,70,Quiniela Loteka,1,1222,35|40|83,35|40|83,1,7|9|22|29|35|42|44|53|63|70|90,5,10,1,1,,True,5,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-10-08|43|12|56,2019-10-08,2019,43,New York 10:30,1,50017,12,56,Gana Mas,1,163074,12|28|44|60|81|92,12|28|44|60|81|92,1,12|41|56|71|89,1,3,1,2,17,True,4,Gana Mas,1,2,nr-historical-relations-j1.0.0
2019-10-08|34|17|13,2019-10-08,2019,34,Quiniela Loteka,1,1220,17,13,Quiniela Leidsa,1,116661,1|17|33|49|76,1|17|33|49|76,2,13|17,2,1,1,2,12,True,2,Loteria Nacional,2,2,nr-historical-relations-j1.0.0
2019-10-09|30|57|91,2019-10-09,2019,30,Loteria Nacional,1,109140,57,91,Gana Mas,1,163073,25|57,25|57,2,11|57|69|91,2,4,1,1,,True,7,Loteria Nacional,2,1,nr-historical-relations-j1.0.0
2019-10-14|31|3|30,2019-10-14,2019,31,Quiniela Loteka,1,1214,3,30,Quiniela Real,1,35965,3|24|88|99,3|24|88|99,1,3|30|83,1,2,1,1,,True,7,New York 10:30,3,1,nr-historical-relations-j1.0.0
2019-10-15|42|7|22,2019-10-15,2019,42,New York 10:30,1,50010,7,22,Gana Mas,1,163067,7|18|23|50|55|66|71,7|18|23|50|55|66|71,1,7|9|22|29|35|42|44|53|63|70|90,1,3,1,1,,True,4,Quiniela Loteka,2,2,nr-historical-relations-j1.0.0
2019-10-19|44|91|69,2019-10-19,2019,44,Quiniela Real,1,35960,91,69,Quiniela Leidsa,1,116650,22|59|70|75|91,22|59|70|75|91,5,11|57|69|91,4,3,1,1,,True,2,New York 10:30,2,1,nr-historical-relations-j1.0.0
2019-10-21|50|45|32,2019-10-21,2019,50,Gana Mas,1,163061,45,32,New York 10:30,1,50004,45,45,1,32|45,2,1,1,1,,False,,,,0,nr-historical-relations-j1.0.0
2019-10-22|48|89|71,2019-10-22,2019,48,Quiniela Loteka,1,1206,89,71,New York 2:30,1,47540,73|89,73|89,2,12|41|56|71|89,5,4,1,1,,True,1,Quiniela Loteka,1,4,nr-historical-relations-j1.0.0
2019-10-23|31|3|30,2019-10-23,2019,31,New York 10:30,1,50002,3,30,Loteria Nacional,1,109126,3|24|88|99,3|24|88|99,1,3|30|83,1,2,1,1,,True,3,Loteria Nacional,2,3,nr-historical-relations-j1.0.0
2019-10-24|31|3|30,2019-10-24,2019,31,Loteria Nacional,1,109125,3,30,New York 10:30,1,50001,3|24|88|99,3|24|88|99,1,3|30|83,1,2,1,1,,True,2,Loteria Nacional,2,3,nr-historical-relations-j1.0.0
2019-10-25|26|27|76,2019-10-25,2019,26,New York 10:30,1,50000,27,76,Quiniela Leidsa,1,116644,27|38,27|38,1,27|68|76|92,1,3,1,2,29,True,1,New York 10:30,3,1,nr-historical-relations-j1.0.0
2019-10-25|41|29|53,2019-10-25,2019,41,Quiniela Loteka,1,1203,29,53,Loteria Nacional,1,109124,13|29|93,13|29|93,2,7|9|22|29|35|42|44|53|63|70|90,4,8,1,2,27,True,4,Gana Mas,3,4,nr-historical-relations-j1.0.0
2019-10-26|38|63|53,2019-10-26,2019,38,Quiniela Real,1,35953,63,53,Quiniela Leidsa,1,116643,20|31|47|52|63|100,20|31|47|52|63|100,5,7|9|22|29|35|42|44|53|63|70|90,9,8,2,1,,True,6,Quiniela Leidsa,1,1,nr-historical-relations-j1.0.0
2019-10-26|38|63|90,2019-10-26,2019,38,Quiniela Real,1,35953,63,90,New York 10:30,2,49999,20|31|47|52|63|100,20|31|47|52|63|100,5,7|9|22|29|35|42|44|53|63|70|90,9,11,2,1,,True,6,Quiniela Leidsa,1,1,nr-historical-relations-j1.0.0
2019-10-29|51|34|59,2019-10-29,2019,51,Gana Mas,1,163053,34,59,Quiniela Real,1,35950,34|98,34|98,1,26|34|59|72,2,3,1,1,,True,7,New York 10:30,1,1,nr-historical-relations-j1.0.0
2019-10-31|43|28|87,2019-10-31,2019,43,Gana Mas,1,163051,28,87,New York 2:30,1,47531,12|28|44|60|81|92,12|28|44|60|81|92,2,23|28|73|77|87,2,5,1,2,44,False,,,,0,nr-historical-relations-j1.0.0
2019-10-31|43|44|29,2019-10-31,2019,43,Gana Mas,1,163051,44,29,Quiniela Loteka,1,1197,12|28|44|60|81|92,12|28|44|60|81|92,3,7|9|22|29|35|42|44|53|63|70|90,7,4,1,2,28,True,2,Quiniela Leidsa,2,1,nr-historical-relations-j1.0.0
