case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2020-07-17,91,44,57,22|59|70|75|91,5,22,-4,1,1,Quiniela Real,2,71,RELACION_DE_TERCER_NIVEL,1,42
2020-07-23,42,37,35,5|10|42,3,5,-2,1,1,Quiniela Leidsa,1,12,RELACION_DE_SEGUNDO_NIVEL,1,
2020-07-27,87,33,23,2|39|82|87,4,2,-3,1,2,Loteria Nacional,3,60,CANDIDATO_ORIGINAL_ALTERNATIVO,1,12|28
2020-07-31,42,37,63,5|10|42,3,5,-2,1,3,Quiniela Real,1,62,RELACION_DE_SEGUNDO_NIVEL,1,90
2020-07-31,90,46,63,37|58|74|90,4,74,-1,3,2,Quiniela Leidsa,2,62,RELACION_DE_SEGUNDO_NIVEL,1,42
2020-08-03,13,41,17,13|29|93,1,29,1,2,3,Quiniela Leidsa,1,12,RELACION_DE_TERCER_NIVEL,1,
2020-08-05,69,45,57,69|80,1,80,1,2,4,New York 10:30,2,63,RELACION_DE_TERCER_NIVEL,1,
2020-08-07,70,44,22,22|59|70|75|91,3,22,-2,1,1,Quiniela Leidsa,3,68,RELACION_DE_TERCER_NIVEL,1,
2020-08-27,16,27,25,16,1,,,,,,,69,RELACION_DE_TERCER_NIVEL,2,
2020-08-29,1,34,10,1|17|33|49|76,1,17,1,2,4,Gana Mas,2,52,RELACION_DE_SEGUNDO_NIVEL,1,
2020-08-31,44,43,9,12|28|44|60|81|92,3,92,3,6,1,Quiniela Leidsa,1,59,RELACION_DE_SEGUNDO_NIVEL,1,28|68|92
2020-09-12,83,49,30,35|40|83,3,35,-2,1,2,Gana Mas,2,20,RELACION_DE_TERCER_NIVEL,1,
2020-09-13,60,43,6,12|28|44|60|81|92,4,81,1,5,1,Gana Mas,1,81,MISMO_GRUPO_T1,1,
2020-09-29,53,28,35,21|26|53,3,26,-1,2,2,Gana Mas,2,3,RELACION_DE_TERCER_NIVEL,1,42
2020-10-07,7,42,44,7|18|23|50|55|66|71,1,66,5,6,1,New York 10:30,3,3,RELACION_DE_TERCER_NIVEL,1,22|48|70
2020-10-07,48,36,93,32|48|64|85,2,85,2,4,1,New York 2:30,2,82,RELACION_DE_TERCER_NIVEL,1,7|22|70
2020-10-11,7,42,70,7|18|23|50|55|66|71,1,55,4,5,1,Loteria Nacional,2,60,RELACION_DE_SEGUNDO_NIVEL,1,90
2020-10-18,63,38,90,20|31|47|52|63|100,5,52,-1,4,1,Quiniela Leidsa,3,12,RELACION_DE_SEGUNDO_NIVEL,1,52
2020-10-24,71,42,12,7|18|23|50|55|66|71,7,7,-6,1,1,Gana Mas,1,7,MISMO_GRUPO_T1,1,20|23|63
2020-11-01,68,47,76,4|36|68|79|84,3,79,1,4,3,Loteria Nacional,1,40,RELACION_DE_SEGUNDO_NIVEL,1,
2020-11-06,53,28,63,21|26|53,3,21,-2,1,6,New York 2:30,3,65,RELACION_DE_TERCER_NIVEL,1,
