case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2020-08-10,34,51,59,1,2,7|34,1,True,6
2020-08-21,1,34,10,1,2,1|17,1,True,3
2020-08-21,17,34,13,1,2,1|17,2,True,2
2020-08-31,28,43,77,1,4,28|44|68|92,2,True,3
2020-08-31,44,43,9,1,4,28|44|68|92,3,False,
2020-08-31,68,47,27,1,4,28|44|68|92,3,True,2
2020-08-31,92,43,27,1,4,28|44|68|92,6,True,1
2020-09-11,9,39,29,2,2,9|14,1,True,2
2020-09-11,14,39,54,1,2,9|14,2,True,4
2020-09-21,44,43,70,1,2,44|92,3,True,4
2020-09-21,92,43,76,1,2,44|92,6,True,6
2020-09-29,42,37,35,1,2,42|53,3,True,4
2020-09-29,53,28,35,1,2,42|53,3,False,
2020-10-01,19,40,86,1,2,19|46,2,True,5
2020-10-01,46,39,86,1,2,19|46,5,True,6
2020-10-07,7,42,44,2,4,7|22|48|70,1,False,
2020-10-07,22,44,42,2,4,7|22|48|70,1,True,5
2020-10-07,48,36,93,1,4,7|22|48|70,2,False,
2020-10-07,70,44,42,2,4,7|22|48|70,3,True,3
2020-10-11,7,42,70,1,2,7|90,1,False,
2020-10-11,90,46,42,2,2,7|90,4,True,3
2020-10-12,57,30,91,1,2,57|69,2,True,2
2020-10-12,69,45,91,1,2,57|69,1,True,1
2020-10-17,3,31,30,1,3,3|28|81,1,True,4
2020-10-17,28,43,73,1,3,3|28|81,2,True,6
2020-10-17,81,43,52,1,3,3|28|81,5,True,1
2020-10-18,52,38,81,1,2,52|63,4,True,1
2020-10-18,63,38,90,1,2,52|63,5,False,
2020-10-20,44,43,35,1,2,44|79,3,True,7
2020-10-20,79,47,88,1,2,44|79,4,True,3
2020-10-24,20,38,2,1,4,20|23|63|71,1,True,5
2020-10-24,23,42,87,1,4,20|23|63|71,3,True,3
2020-10-24,63,38,42,1,4,20|23|63|71,5,True,6
2020-10-24,71,42,12,1,4,20|23|63|71,7,False,
2020-11-13,9,39,29,1,2,9|46,1,True,5
2020-11-13,46,39,19,1,2,9|46,5,True,7
2020-11-17,65,52,82,1,2,65|85,1,True,7
2020-11-17,85,36,52,1,2,65|85,4,True,2
2020-11-20,86,35,46,1,2,86|90,5,True,2
2020-11-20,90,46,35,2,2,86|90,4,True,3
2020-11-25,41,39,12,1,3,41|73|89,4,True,2
2020-11-25,73,48,23,2,3,41|73|89,1,False,
2020-11-25,89,48,12,1,3,41|73|89,2,False,
2020-12-07,28,43,77,1,3,28|44|81,2,True,1
2020-12-07,44,43,35,2,3,28|44|81,3,False,
2020-12-07,81,43,85,1,3,28|44|81,5,True,1
2020-12-13,12,43,56,1,2,12|28,1,False,
2020-12-13,28,43,87,1,2,12|28,2,True,3
2020-12-14,8,40,80,1,2,8|72,1,True,5
2020-12-14,72,40,26,1,2,8|72,6,False,
2020-12-15,27,26,92,1,3,27|72|76,1,True,5
2020-12-15,72,40,26,2,3,27|72|76,6,False,
2020-12-15,76,34,92,1,3,27|72|76,5,True,6
2020-12-18,35,49,7,2,2,35|73,1,True,6
2020-12-18,73,48,23,1,2,35|73,1,True,4
2020-12-23,23,42,73,1,2,23|71,3,True,4
2020-12-23,71,42,12,1,2,23|71,7,True,3
2021-01-06,22,44,90,1,2,22|70,1,False,
2021-01-06,70,44,90,1,2,22|70,3,True,1
2021-01-11,27,26,68,1,2,27|73,1,False,
2021-01-11,73,48,23,2,2,27|73,1,True,2
2021-01-13,68,47,76,1,2,68|79,3,False,
2021-01-13,79,47,67,1,2,68|79,4,True,1
2021-01-15,26,28,72,1,2,26|53,2,False,
