case_date,fuerte,t1_code,t1_group,t1_pos,num_-1,num_+1,num_-2,num_+2,day_-1,day_+1,day_fuerte,sequences,fuerte_appeared
2020-07-17,91,44,22|59|70|75|91,5,75,,70,,2,,,,False
2020-07-19,84,47,4|36|68|79|84,5,79,,68,,,,5,,True
2020-07-20,76,34,1|17|33|49|76,5,49,,33,,1,,3,-1→F,True
2020-07-23,42,37,5|10|42,3,10,,5,,,,,,False
2020-07-26,8,40,8|19|51|56|67|72,1,,19,,51,,7,2,F→+1,True
2020-07-27,12,43,12|28|44|60|81|92,1,,28,,44,,4,3,F→+1,True
2020-07-27,28,43,12|28|44|60|81|92,2,12,44,,60,3,2,4,-1→F|+1→F,True
2020-07-27,87,33,2|39|82|87,4,82,,39,,7,,,,False
2020-07-29,35,49,35|40|83,1,,40,,83,,4,5,+1→F|F→+2,True
2020-07-31,42,37,5|10|42,3,10,,5,,6,,,,False
2020-07-31,90,46,37|58|74|90,4,74,,58,,2,,,,False
2020-08-01,29,41,13|29|93,2,13,93,,,,,2,,True
2020-08-03,13,41,13|29|93,1,,29,,93,,3,,,False
2020-08-05,69,45,69|80,1,,80,,,,4,,,False
2020-08-06,28,43,12|28|44|60|81|92,2,12,44,,60,1,1,7,-1→F|+1→F,True
2020-08-06,44,43,12|28|44|60|81|92,3,28,60,12,81,7,2,1,F→-1|F→+1|F→+2|F→+1→+2,True
2020-08-07,70,44,22|59|70|75|91,3,59,75,22,91,3,2,,,False
2020-08-10,7,42,7|18|23|50|55|66|71,1,,18,,23,,,1,,True
2020-08-10,34,51,34|98,1,,98,,,,1,6,+1→F,True
2020-08-14,74,46,37|58|74|90,3,58,90,37,,4,2,6,-1→F|+1→F,True
2020-08-16,27,26,27|38,1,,38,,,,1,7,+1→F,True
2020-08-21,1,34,1|17|33|49|76,1,,17,,33,,2,3,+1→F|F→+2,True
2020-08-21,17,34,1|17|33|49|76,2,1,33,,49,3,7,2,F→-1|F→+1|F→+2|F→-1→F,True
2020-08-22,77,32,77,1,,,,,,,4,,True
2020-08-23,69,45,69|80,1,,80,,,,3,1,F→+1,True
2020-08-25,63,38,20|31|47|52|63|100,5,52,100,47,,5,,4,F→-1,True
2020-08-27,16,27,16,1,,,,,,,,,False
2020-08-29,1,34,1|17|33|49|76,1,,17,,33,,4,,,False
2020-08-31,28,43,12|28|44|60|81|92,2,12,44,,60,3,,3,,True
2020-08-31,44,43,12|28|44|60|81|92,3,28,60,12,81,3,2,,,False
2020-08-31,68,47,4|36|68|79|84,3,36,79,4,84,5,7,2,F→-1|F→+1|F→-1→-2→F_partial,True
2020-08-31,92,43,12|28|44|60|81|92,6,81,,60,,6,,1,F→-1|F→-2|F→-1→F,True
2020-09-03,53,28,21|26|53,3,26,,21,,2,,1,F→-1|F→-2|F→-1→-2|F→-1→F,True
2020-09-05,27,26,27|38,1,,38,,,,,2,,True
2020-09-07,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,2,1,F→+1|F→+2|F→+1→+2,True
2020-09-08,29,41,13|29|93,2,13,93,,,5,6,3,F→-1|F→+1|F→-1→F,True
2020-09-09,7,42,7|18|23|50|55|66|71,1,,18,,23,,2,1,F→+1|F→+2|F→+1→+2,True
2020-09-11,9,39,9|14|30|41|46|62|78|94,1,,14,,30,,4,2,F→+1,True
2020-09-11,14,39,9|14|30|41|46|62|78|94,2,9,30,,41,2,1,4,-1→F|+1→F,True
2020-09-12,83,49,35|40|83,3,40,,35,,,,,,False
2020-09-13,60,43,12|28|44|60|81|92,4,44,81,28,92,2,1,,,False
2020-09-15,59,44,22|59|70|75|91,2,22,70,,75,,6,2,F→+1|F→+2,True
2020-09-18,42,37,5|10|42,3,10,,5,,5,,3,F→-1|F→-2|F→-1→-2,True
2020-09-19,90,46,37|58|74|90,4,74,,58,,4,,3,F→-1|F→-1→-2→F_partial,True
2020-09-20,82,33,2|39|82|87,3,39,87,2,,,2,3,+1→F,True
2020-09-21,44,43,12|28|44|60|81|92,3,28,60,12,81,4,4,4,F→+2,True
2020-09-21,92,43,12|28|44|60|81|92,6,81,,60,,7,,6,F→-1|F→-1→-2→F_partial,True
2020-09-26,86,35,6|11|43|54|86,5,54,,43,,3,,4,-1→F|F→-2,True
2020-09-27,76,34,1|17|33|49|76,5,49,,33,,4,,3,F→-1|F→-1→F,True
2020-09-29,42,37,5|10|42,3,10,,5,,,,4,,True
2020-09-29,53,28,21|26|53,3,26,,21,,2,,,,False
2020-10-01,19,40,8|19|51|56|67|72,2,8,51,,56,6,,5,F→-1,True
2020-10-01,46,39,9|14|30|41|46|62|78|94,5,41,62,30,78,1,1,6,-1→F|+1→F,True
2020-10-02,69,45,69|80,1,,80,,,,6,7,+1→F,True
2020-10-03,29,41,13|29|93,2,13,93,,,,4,6,+1→F,True
2020-10-07,7,42,7|18|23|50|55|66|71,1,,18,,23,,7,,,False
2020-10-07,22,44,22|59|70|75|91,1,,59,,70,,,5,,True
2020-10-07,48,36,32|48|64|85,2,32,64,,85,3,2,,,False
2020-10-07,70,44,22|59|70|75|91,3,59,75,22,91,,,3,F→-2,True
2020-10-08,57,30,25|57,2,25,,,,2,,2,,True
2020-10-11,7,42,7|18|23|50|55|66|71,1,,18,,23,,3,,,False
2020-10-11,90,46,37|58|74|90,4,74,,58,,5,,3,F→-1|F→-1→F,True
2020-10-12,57,30,25|57,2,25,,,,,,2,,True
2020-10-12,69,45,69|80,1,,80,,,,1,1,,True
2020-10-13,41,39,9|14|30|41|46|62|78|94,4,30,46,14,62,4,2,3,F→-1|+1→F,True
2020-10-17,3,31,3|24|88|99,1,,24,,88,,1,4,+1→F,True
2020-10-17,28,43,12|28|44|60|81|92,2,12,44,,60,2,,6,-1→F,True
2020-10-17,81,43,12|28|44|60|81|92,5,60,92,44,,1,3,1,F→+1,True
2020-10-18,52,38,20|31|47|52|63|100,4,47,63,31,100,2,,1,F→-1|F→-2|F→-1→-2|F→-1→F,True
