relation,generator,candidate,n_confirmers,activations,w3_hits,hit_rate_w3,lift_vs_base_freq_random_one,security_level
34->76<-27,34,76,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
42->7<-90,42,7,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
35->6<-60,35,6,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
28->53<-9,28,53,1,4,0,0.0,0.0,D_SIN_VENTAJA
"37->42<-7,9",37,42,2,1,0,0.0,0.0,D_SIN_VENTAJA
36->48<-93,36,48,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
36->85<-52,36,85,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
33->87<-73,33,87,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
43->81<-85,43,81,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
33->82<-65,33,82,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
42->23<-87,42,23,1,5,0,0.0,0.0,D_SIN_VENTAJA
49->35<-90,49,35,1,2,1,0.5,2.6886,D_SIN_VENTAJA
46->58<-84,46,58,1,4,1,0.25,1.3443,D_SIN_VENTAJA
26->27<-68,26,27,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
40->72<-26,40,72,1,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
38->31<-74,38,31,1,7,0,0.0,0.0,D_SIN_VENTAJA
49->83<-3,49,83,1,9,4,0.444444,2.3899,C_PROMETEDOR_NO_CONCLUYENTE
44->22<-53,44,22,1,8,2,0.25,1.3443,C_PROMETEDOR_NO_CONCLUYENTE
44->70<-53,44,70,1,4,2,0.5,2.6886,D_SIN_VENTAJA
41->29<-63,41,29,1,3,1,0.333333,1.7924,D_SIN_VENTAJA
45->69<-57,45,69,1,8,1,0.125,0.6722,D_SIN_VENTAJA
35->11<-91,35,11,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
37->42<-53,37,42,1,6,0,0.0,0.0,D_SIN_VENTAJA
